,eng,jp
0,my opponent is shark.,俺の相手は シャークだ。
1,this is one thing in exchange for another.,引き換えだ ある事とある物の
2,"yeah, i'm fine.",もういいよ ごちそうさま ううん
3,don't come to the office anymore. don't call me either.,もう会社には来ないでくれ 電話もするな
4,looks beautiful.,きれいだ。
5,"get him out of here, because i will fucking kill him.",連れて行け 殺しそうだ わかったか?
6,you killed him!,殺したのか!
7,"okay, then who?",わぁ~! いつも すみません。 いいのよ~。
8,it seems a former employee...,カンパニーの元社員が
9,so where are they?,じゃアイツラはどこ?
10,"or i don't know, just...",相手を陥れるとか...
11,no child should ever have to endure that.,必要のない子 耐えるにしている。
12,"i know the visual's incongruous, but...",犯人像とは 違和感のある見た目だが
13,aw!,あ!
14,let me show you more detailed ones.,もっと詳しいの 見せますから。
15,you're gonna bring that up right now?,それ今持ち出すか?
16,"well then, when you're done work, come to the medical office.",じゃあ 仕事終わったら 医局に来てよ。
17,um...please go ahead and eat without me.,あの... 皆さんで 先 済ませてください。
18,rokka is always forever,六花ちゃんは ずっと ずっとずっと
19,thank you!,ほら 別に変なことじゃないでしょ?
20,that's a funnylooking dress.,変な子供服
21,the captain asked me to reexamine the dna from the bomb... to see if anyone else might have handled it.,船長から他の誰かが扱った形跡がないか dnaを再調査するように頼まれました
22,if the rest of the book reads as well when you're done,もし 残りも上手く書けたら
23,"more ravishing than ever, big sister.",以前に増して魅力的だ
24,"yes, that's me.",也就是说...该不会是...
25,because you and i are gonna be friends for a long time. you might as well know now.,長いこと友達なのに 気付かなかったのか?
26,and bill talbot's tracker fell off the grid five minutes ago. ...taken by a witness here. we can show you these images now.,ビルのID信号も5分前に消えたわ
27,he's got some blood in his mouth.,口の中に血が見える
28,asamoto won't last like this!,ASAMOTOは このままじゃいけないと思う。
29,storm!,嵐には嵐の
30,i see... it doesn't look easy to get in...,なるほど 簡単にゃ入れそうにねえな
31,"and how's that news, exactly, the two of you being in danger, after doing something idiotic?",ニュースは? 確かに 二人の危険にさらされて
32,they make it into a creation,ある創作をします
33,i'll call you in the morning.,朝、電話する
34,we pioneered all sorts of new,次々に新しい柔軟な勤務体系を 開発していきました
35,single gunshot victim.,ルーズベルト・アイランド橋で
36,i don't have anywhere else to go.,僕、帰る所が無いんだ
37,we have one for you.,今度は わしの番だ
38,why'd you tell?,どうして話した
39,there is no such thing as a curse in this world!,持っているだけで人を不幸にする呪われた本などというものは存在しないのです
40,"i'm sorry, but i have to ask.",悪いと思うけど 聞かなきゃいけないの
41,any good things to you about this.,お前たちを英雄にしたりはしない
42,now! throw out all the seal tickets!,今だ!ありったけの封印札を 投げつけろ!
43,and we are paying a cost.,その結果犠牲を払うことになります
44,i was given an education,教育を受け
45,i'm starting to feel stupid for agonizing over it.,何か 悩むんが アホらしゅうなって来たわ。
46,"with furcifer gone, i can put a cloaking spell on her.",俺が隠している魔法を かけることもできる
47,"this way, please!",帰れ! やだね。
48,and to the gymnosophist.,裸行者に戻ります
49,get out!,退散しろ!
50,"yeah, he wrote one.",初回に プロフィルn書かされませんでした?
51,"that's the expectation from demographers, going forward.",今後もこの状況は続くと人口統計学者は予想しています
52,you did the right thing.,良くやってくれた
53,he's on the run.,逃走中です
54,no way! seriously?!,まさかの赤ペン先生!
55,"no, you can't!",う... うん
56,"yes, sir. listen.",蛭間病院長に聞きなさい!
57,must have been a really great man.,ほんまの 豪傑じゃったんじゃろうねぇ。
58,"warehouse? ah, it's alright. really.",倉庫って。 あっ。 大丈夫。 うん。
59,"but if you show your face here again, i will cut you the fuck in half!",もう一度現れたら 顔を吹っ飛ばす
60,i got coffee.,コーヒーと
61,in this mansion?,何だ あれ。 あの屋敷。
62,the town that the bomb forgot.,忘れられた町・・・
